competition_id,competition_name,parent_id,type,gender,category_name,category_id
sr:competition:14973,"ITF India 01A, Women Doubles",sr:competition:14971,doubles,women,"ITF Women",sr:category:213
sr:competition:14975,"ITF India 01A, Women Singles",sr:competition:14971,singles,women,"ITF Women",sr:category:213
sr:competition:15015,"ITF Japan 01B, Women Singles",sr:competition:15013,singles,women,"ITF Women",sr:category:213
sr:competition:15017,"ITF Japan 01B, Women Doubles",sr:competition:15013,doubles,women,"ITF Women",sr:category:213
sr:competition:15077,"ITF USA 08A, Women Singles",sr:competition:15075,singles,women,"ITF Women",sr:category:213
sr:competition:15079,"ITF USA 08A, Women Doubles",sr:competition:15075,doubles,women,"ITF Women",sr:category:213
sr:competition:15115,"ITF Portugal 01A, Women Singles",sr:competition:15113,singles,women,"ITF Women",sr:category:213
sr:competition:15117,"ITF Portugal 01A, Women Doubles",sr:competition:15113,doubles,women,"ITF Women",sr:category:213
sr:competition:15305,"ITF Hungary 02A, Women Singles",sr:competition:15303,singles,women,"ITF Women",sr:category:213
sr:competition:15307,"ITF Hungary 02A, Women Doubles",sr:competition:15303,doubles,women,"ITF Women",sr:category:213
sr:competition:15361,"ITF Argentina 01A, Women Singles",sr:competition:15359,singles,women,"ITF Women",sr:category:213
sr:competition:15363,"ITF Argentina 01A, Women Doubles",sr:competition:15359,doubles,women,"ITF Women",sr:category:213
sr:competition:15367,"ITF China 10A, Women Singles",sr:competition:15365,singles,women,"ITF Women",sr:category:213
sr:competition:15369,"ITF China 10A, Women Doubles",sr:competition:15365,doubles,women,"ITF Women",sr:category:213
sr:competition:15373,"ITF Portugal 04A, Women Singles",sr:competition:15371,singles,women,"ITF Women",sr:category:213
sr:competition:15375,"ITF Portugal 04A, Women Doubles",sr:competition:15371,doubles,women,"ITF Women",sr:category:213
sr:competition:15435,"ITF Portugal 05A, Women Singles",sr:competition:15433,singles,women,"ITF Women",sr:category:213
sr:competition:15437,"ITF Portugal 05A, Women Doubles",sr:competition:15433,doubles,women,"ITF Women",sr:category:213
sr:competition:15452,"ITF Portugal 06A, Women Singles",sr:competition:15450,singles,women,"ITF Women",sr:category:213
sr:competition:15454,"ITF Portugal 06A, Women Doubles",sr:competition:15450,doubles,women,"ITF Women",sr:category:213
sr:competition:15458,"ITF Czechia 01A, Women Singles",sr:competition:15456,singles,women,"ITF Women",sr:category:213
sr:competition:15460,"ITF Czechia 01A, Women Doubles",sr:competition:15456,doubles,women,"ITF Women",sr:category:213
sr:competition:15482,"ITF Romania 01A, Women Singles",sr:competition:15480,singles,women,"ITF Women",sr:category:213
sr:competition:15484,"ITF Romania 01A, Women Doubles",sr:competition:15480,doubles,women,"ITF Women",sr:category:213
sr:competition:15520,"ITF Hungary 04A, Women Singles",sr:competition:15518,singles,women,"ITF Women",sr:category:213
sr:competition:15522,"ITF Hungary 04A, Women Doubles",sr:competition:15518,doubles,women,"ITF Women",sr:category:213
sr:competition:15590,"ITF USA 20A, Women Doubles",sr:competition:15588,doubles,women,"ITF Women",sr:category:213
sr:competition:15592,"ITF USA 20A, Women Singles",sr:competition:15588,singles,women,"ITF Women",sr:category:213
sr:competition:15596,"ITF Belgium 03A, Women Singles",sr:competition:15594,singles,women,"ITF Women",sr:category:213
sr:competition:15598,"ITF Belgium 03A, Women Doubles",sr:competition:15594,doubles,women,"ITF Women",sr:category:213
sr:competition:15602,"ITF Sweden 03A, Women Singles",sr:competition:15600,singles,women,"ITF Women",sr:category:213
sr:competition:15604,"ITF Sweden 03A, Women Doubles",sr:competition:15600,doubles,women,"ITF Women",sr:category:213
sr:competition:15608,"ITF Great Britain 11A, Women Singles",sr:competition:15606,singles,women,"ITF Women",sr:category:213
sr:competition:15610,"ITF Great Britain 11A, Women Doubles",sr:competition:15606,doubles,women,"ITF Women",sr:category:213
sr:competition:16266,"ITF Kazakhstan 05A, Women Singles",sr:competition:16264,singles,women,"ITF Women",sr:category:213
sr:competition:16268,"ITF Kazakhstan 05A, Women Doubles",sr:competition:16264,doubles,women,"ITF Women",sr:category:213
sr:competition:16272,"ITF Czech Republic 03A, Women Singles",sr:competition:16270,singles,women,"ITF Women",sr:category:213
